k,description_short,cluster_kmeans,cluster_agg,log_world_import,median_world_demand_growth,median_global_demand_log,log_n_markets,mean_market_penetration,opportunity_rate,world_import_slope
020752,"Meat and edible offal: of geese, not cut in pieces, frozen",0,0,18.400651256753825,-0.11406674669583183,10.914867895937864,5.429345628954441,0.0,0.2026431718061674,-0.04545901689710853
020753,"Meat and edible offal: of geese, fatty livers (foie gras), f",0,0,17.28105627633634,-0.09893378972564199,9.661735553257849,5.429345628954441,0.0,0.2026431718061674,-0.13813191893390123
020754,"Meat and edible offal: of geese, cuts and offal, excluding f",2,2,17.17592231732664,-0.02727720425421154,9.627632687758004,5.429345628954441,0.0007800738003911966,0.20044052863436124,-0.020386597743677966
020755,"Meat and edible offal: of geese, cuts and offal, excluding f",2,2,19.458495349877985,-0.04806125648603782,11.89276508875024,5.429345628954441,0.0009057731333562047,0.19768722466960353,0.004438851410453996
020760,"Meat and edible offal: of guinea fowls, fresh, chilled or fr",0,0,18.445636427526775,-0.05476991552648103,10.900102585758379,5.429345628954441,0.00010592422371865876,0.20154185022026433,-0.05625763416197627
020810,"Meat and edible meat offal: of rabbits or hares, fresh, chil",0,0,19.544553642903757,0.023014406639432772,12.001506767087834,5.429345628954441,0.0,0.2026431718061674,-0.025120472854381088
020830,"Meat and edible meat offal: of primates, fresh, chilled or f",1,1,14.829596461310006,0.3725500753712505,7.277830202667522,5.429345628954441,0.0,1.0,0.015610385323527695
020840,"Meat and edible meat offal: of whales, dolphins and porpoise",1,1,17.097570652335108,0.004101028838965126,9.539280960958944,5.429345628954441,0.0,0.8006607929515418,-0.0571653426386577
020850,Meat and edible meat offal: of reptiles (including snakes an,0,0,16.149619554714747,0.07056504345546366,8.588517111496563,5.429345628954441,0.0,0.30231277533039647,0.025042223811637274
020860,Meat and edible meat offal: of camels and other camelids (Ca,1,1,16.586935581744573,0.1093587706483985,8.974687269858283,5.429345628954441,0.0,1.0,0.058991251228473186
